Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OGEN,Oragenics Inc. Common Stock,$1.02,-0.03,-2.857%,111459017.00,United States,,5772744,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$3.40,-0.31,-8.356%,778484400.00,,2020,364315,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$28.43,0.00,0.00%,,United States,,246,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$24.45,-0.3504,-1.413%,,United States,,800,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$24.31,-0.3901,-1.579%,,United States,,210,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.84,-0.13,-0.521%,,United States,,461,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$23.70,0.69,2.999%,,United States,,180,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$23.50,-0.07,-0.297%,,United States,,201,,
PED,Pedevco Corp. Common Stock,$1.60,-0.08,-4.762%,127133232.00,United States,,1256773,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$7.27,-0.02,-0.274%,169006068.00,,2019,71252,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$2.72,0.01,0.369%,43323521.00,China,,113862,Consumer Non-Durables,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$3.98,-0.11,-2.689%,287363068.00,Canada,,1300729,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$4.56,-0.28,-5.785%,459190705.00,Canada,,486734,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$4.90,0.07,1.449%,222375872.00,Israel,,741404,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.32,0.195,0.746%,,United States,,951,,
PRK,Park National Corporation Common Stock,$124.00,-2.47,-1.953%,2185272212.00,United States,,68580,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$10.33,-0.02,-0.193%,148493750.00,United States,2020,97699,Finance,Business Services
PTN,Palatin Technologies Inc. Common Stock,$0.782,-0.038,-4.634%,179886828.00,United States,,3295391,Health Care,Major Pharmaceuticals
